Rank,University,Country
283,Zhongnan University of Economics and Law,CHN
284,Liaoning Medical University,CHN
285,Communication University of China,CHN
286,Xinjiang University,CHN
287,Fujian University of Traditional Chinese Medicine,CHN
288,Guizhou Medical University,CHN
289,Jiangxi Agricultural University,CHN
290,Minzu University of China,CHN
291,Yancheng Institute of Technology,CHN
292,East China Jiaotong University,CHN
293,Duke Kunshan University,CHN
294,Xi'an University of Post and Telecommunications,CHN
295,Changchun University of Science and Technology,CHN
296,Guangdong Polytechnical Normal University,CHN
297,Minjiang University,CHN
298,Xinyang Normal University,CHN
299,Shaoxing University,CHN
300,Yanbian University,CHN
301,Beijing Electronic Science and Technology Institute,CHN
302,Southwestern University of Finance and Economics,CHN
303,Hunan University of Science and Engineering,CHN
304,Civil Aviation University of China,CHN
305,Anhui Normal University,CHN
306,Southwest Minzu University,CHN
307,Beijing University of Agriculture,CHN
308,Gansu Agricultural University,CHN
309,Hubei University of Economics,CHN
310,Henan University of Traditional Chinese Medicine,CHN
311,Liaoning University of Traditional Chinese Medicine,CHN
312,Zhejiang University City College,CHN
313,Nanjing Institute of Technology,CHN
314,Qiqihar Medical University,CHN
315,Sichuan University of Science and Engineering,CHN
316,Anhui University of Technology,CHN
317,Ludong University,CHN
318,Dali University,CHN
319,Tongren University,CHN
320,Dongbei University of Finance and Economics,CHN
321,Taiyuan University of Science and Technology,CHN
322,Jilin Institute of Chemical Technology,CHN
323,Shenzhen Technology University,CHN
324,Chongqing Technology and Business University,CHN
325,Quanzhou Normal University,CHN
326,Lanzhou Jiaotong University,CHN
327,Chengdu Medical College,CHN
328,Shandong Jianzhu University,CHN
329,Huaibei Normal University,CHN
330,Jiangxi University of Finance and Economics,CHN
331,Shenyang Aerospace University,CHN
332,Shandong University of Finance,CHN
333,Northeast Petroleum University,CHN
334,Weifang University of Science and Technology,CHN
335,Guangdong University of Petrochemical Technology,CHN
336,Xiamen University of Technology,CHN
337,Jimei University,CHN
338,Shanxi Agricultural University,CHN
339,Hubei University of Science And Technology,CHN
340,Changsha University,CHN
341,Anhui University of Traditional Chinese Medicine,CHN
342,Yunnan Minzu University,CHN
343,Ningbo University of Technology,CHN
344,Longyan University,CHN
345,Jilin Normal University,CHN
346,Anhui University of Finance and Economics,CHN
347,Hebei University of Chinese Medicine,CHN
348,Fujian University of Technology,CHN
349,Heilongjiang University of Chinese Medicine,CHN
350,Huanghe Science and Technology University,CHN
351,Henan Institute of Science and Technology,CHN
352,Inner Mongolia University,CHN
353,Zhejiang Shuren University,CHN
354,Dalian University,CHN
355,Hunan University of Traditional Chinese Medicine,CHN
356,Shangqiu Normal University,CHN
357,North China University of Science and Technology,CHN
358,Qinghai University,CHN
359,Naval University of Engineering,CHN
360,Beijing Information Science and Technology University,CHN
361,Guangxi University of Chinese Medicine,CHN
362,Chongqing University of Science and Technology,CHN
363,Dalian Minzu University,CHN
364,Bohai University,CHN
365,Chongqing University of Technology,CHN
366,Hebei Normal University,CHN
367,Hubei University of Chinese Medicine,CHN
368,Anhui Polytechnic University,CHN
369,Hebei University of Science and Technology,CHN
370,Huaiyin Normal University,CHN
371,Gannan Normal University,CHN
372,Jishou University,CHN
373,Air Force Early Warning Academy,CHN
374,Ningxia University,CHN
375,Jianghan University,CHN
376,Beijing University of Civil Engineering & Architecture,CHN
377,Heilongjiang Bayi Agricultural University,CHN
378,Zhongyuan University of Technology,CHN
379,Qingdao University of Technology,CHN
380,Wannan Medical College,CHN
381,Shandong JiaoTong University,CHN
382,Tarim University,CHN
383,Inner Mongolia Agricultural University,CHN
384,Qiqihar University,CHN
385,Changchun University of Traditional Chinese Medicine,CHN
386,Mudanjiang Medical University,CHN
387,Xian Polytechnic University,CHN
388,Chongqing Jiaotong University,CHN
389,Zhejiang University of Finance and Economics,CHN
390,Hebei University of Engineering,CHN
391,Sanming University,CHN
392,Yunnan Normal University,CHN
393,Central University of Finance and Economics,CHN
394,Dalian Ocean University,CHN
395,China West Normal University,CHN
396,Huaihai Institute of Technology,CHN
397,Changshu Institute of Technology,CHN
398,Chongqing Normal University,CHN
399,Xuchang University,CHN
400,Luoyang Normal University,CHN
401,Anhui Jianzhu University,CHN
402,North China University of Water Conservancy and Electric Power,CHN
403,Xian Shiyou University,CHN
404,Beijing Institute of Petrochemical Technology,CHN
405,Guangxi University of Science and Technology,CHN
406,Nanjing University of Finance and Economics,CHN
407,Yangtze Normal University,CHN
408,Shanghai University of Finance and Economics,CHN
409,Yanan University,CHN
410,Hefei University,CHN
411,Jiangsu Teachers University of Technology,CHN
412,Dezhou University,CHN
413,Liaoning Technical University,CHN
414,Southwest Forestry University,CHN
415,Binzhou University,CHN
416,Beijing Wuzi University,CHN
417,Shanghai Polytechnic University,CHN
418,Xinjiang Medical University,CHN
419,Lanzhou University of Technology,CHN
420,Xi'an Technological University,CHN
421,University of International Business and Economics,CHN
422,Hubei University of Arts and Science,CHN
423,Information Engineering University,CHN
424,Beijing Union University,CHN
425,Shenyang University of Technology,CHN
426,Tibet University,CHN
427,Jiamusi University,CHN
428,Zhejiang Wanli University,CHN
429,Lingnan Normal University,CHN
430,Hubei University of Education,CHN
431,Civil Aviation Flight University of China,CHN
432,Xinjiang Agricultural University,CHN
433,Tianjin University of Commerce China,CHN
434,Jinling Institute Of Technology,CHN
435,Shaanxi University of Technology,CHN
436,Inner Mongolia University of Technology,CHN
437,Kunming University,CHN
438,Hubei Engineering University,CHN
439,Hengyang Normal University,CHN
440,"Shanxi Normal University, Linfen",CHN
441,Huanggang Normal University,CHN
442,Hubei Normal University,CHN
443,Yichun University,CHN
444,Yulin Normal University,CHN
445,Electronic Engineering Institute of the PLA,CHN
446,Xinxiang University,CHN
447,Nanjing Xiaozhuang University,CHN
448,Shenyang University of Chemical Technology,CHN
449,Hebei North University,CHN
450,Hunan City University,CHN
451,Harbin University of Commerce,CHN
452,Jingdezhen Ceramic University,CHN
453,East China Institute of Technology,CHN
454,Linyi University,CHN
455,Chinese People's Armed Police Force Engineering University,CHN
456,Minnan Normal University,CHN
457,Hubei University for Nationalities,CHN
458,Shaoyang University,CHN
459,Weifang University,CHN
460,Guangdong University of Foreign Studies,CHN
461,Chinese Peoples Public Security University,CHN
462,Guangxi University for Nationalities,CHN
463,Shanxi Datong University,CHN
464,Northwest Minzu University,CHN
465,Beihua University,CHN
466,PLA Rocket Force University of Engineering,CHN
467,University of Science and Technology Liaoning,CHN
468,Beijing Foreign Studies University,CHN
469,Harbin Normal University,CHN
470,Liaoning University of Technology,CHN
471,Tianjin Chengjian University,CHN
472,Shenyang Normal University,CHN
473,Shenyang Jianzhu University,CHN
474,Beijing Institute of Graphic Communication,CHN
475,Shenyang Ligong University,CHN
476,Putian University,CHN
477,Anqing Normal University,CHN
478,Jiujiang University,CHN
479,Shaanxi University of Chinese Medicine,CHN
480,Chongqing University of Arts and Sciences,CHN
481,Yunnan University of Finance and Economics,CHN
482,North China Institute of Science and Technology,CHN
483,Liaoning Normal University,CHN
484,Fuyang Normal University,CHN
485,Shaoguan University,CHN
486,Shijiazhuang Tiedao University,CHN
487,Yulin University,CHN
488,Lanzhou City University,CHN
489,Anyang Institute of Technology,CHN
490,Dalian Jiaotong University,CHN
491,Shanghai University of Sport,CHN
492,Zhoukou Normal University,CHN
493,Baotou Medical College,CHN
494,Huangshan University,CHN
495,Shanghai Dianji University,CHN
496,Henan University of Animal Husbandry and Economy,CHN
497,"Hunan University of Humanities, Science and Technology",CHN
498,Huaihua University,CHN
499,Jinggangshan University,CHN
500,Hainan Tropical Ocean University,CHN
